Type,Try,Target,Assistant,Error,Time,v1,v3
7,2,6,1,0,2064,1.4173675,2.0973208
7,2,1,1,0,2041,1.5275006,2.3894134
7,2,100,0,0,985,0.4165911,1.6567876
7,2,47,0,0,998,1.4987702,2.8395233
7,2,79,0,0,962,0.15322891,0.92416185
7,2,37,0,0,1074,3.347094,2.9831753
7,2,4,1,0,1884,2.3654714,1.8291701
7,2,46,0,0,935,2.336741,2.1883004
7,2,56,1,0,1663,2.0159178,1.9297266
7,2,91,0,0,969,1.8531121,0.9911995
7,2,17,1,0,2016,0.3878607,1.091756
7,2,27,1,0,2072,0.39264908,0.30166942
7,2,51,1,0,2277,0.019153614,0.37349546
7,2,11,1,0,1938,2.896984,2.1547816
7,2,71,0,0,1134,0.40222588,0.9959879
7,2,90,1,0,1741,0.20590134,0.48841715
7,2,8,1,0,1989,2.006341,1.6136919
7,3,68,0,0,696,1.4460979,1.8579005
7,3,57,1,0,1724,1.6136919,1.5035586
7,3,54,0,0,998,1.8100165,1.6328455
7,3,73,1,0,1639,1.1540052,1.2162545
7,3,48,2,0,2992,2.6527755,2.3511062
7,3,43,2,0,3239,1.8052281,2.0350714
7,3,54,0,2,2092,1.7142484,1.6328455
7,3,76,0,0,981,1.8722657,0.7230489
7,3,93,0,0,869,0.5602432,0.29688102
7,3,20,1,0,1984,1.6232687,0.9816227
7,3,95,0,0,1207,0.16280572,0.1340753
7,3,28,2,0,4811,1.2737153,1.0869676
7,3,75,0,0,908,2.255338,1.5275006
7,3,105,1,1,2328,0.11971009,0.545878
7,3,33,1,0,1803,0.34955344,0.7134721
7,3,104,1,0,1772,0.80924016,0.37828386
7,3,36,1,1,4679,4.0653543,2.456451
7,3,19,1,0,2271,2.2984335,1.0151415
7,3,103,0,0,1010,0.07182605,0.25378537
7,3,98,1,0,4000,0.32561144,0.04309563
7,3,62,0,0,1047,1.6328455,1.3982137
7,3,38,0,0,1032,2.6671407,2.3175871
7,3,52,0,0,990,2.9352913,0.34476504
7,3,74,0,1,1537,2.96881,0.7374141
7,3,95,0,0,891,0.16280572,0.5746084
7,3,24,1,0,2024,1.4221559,0.21068975
7,3,82,0,0,965,2.882619,0.047884032
7,3,21,1,0,1862,0.81402856,0.32561144
7,3,97,1,0,2325,2.303222,1.3072342
7,3,12,1,0,1907,1.7429788,0.5602432
7,4,68,0,0,650,2.3080103,0.29209262
7,4,81,1,0,1544,1.1348516,0.31124622
7,4,7,1,0,2036,0.92416185,0.038307227
7,4,38,0,0,1265,2.3798366,1.9632454
7,4,58,1,0,1677,1.7142484,0.39264908
7,4,83,0,0,1013,1.5801731,0.80924016
7,4,24,1,0,2068,0.8810662,0.6607997
7,4,109,0,0,937,0.01436521,1.13964
7,4,84,0,0,967,1.4700398,0.7230489
7,4,72,1,0,1676,1.7956513,0.06703765
7,4,22,1,0,1949,0.58418524,0.7517793
7,4,9,1,0,1923,1.3934253,0.01436521
7,4,50,1,0,1765,2.5474305,0.41180268
7,4,94,0,0,1026,0.4261679,0.6655881
7,4,34,1,0,1926,0.24420857,0.94331545
7,4,109,0,0,1028,0.30166942,1.2066777
7,4,40,1,0,1924,0.90021986,0.9864111
7,4,26,1,0,1812,0.48362875,0.9576807
7,4,39,1,0,2365,0.023942016,1.1109096
7,4,18,1,0,1758,0.61291564,0.7374141
7,4,102,0,0,996,0.17717093,1.0342951
7,4,80,1,0,1658,1.0821792,0.7086837
7,4,84,0,0,921,1.7142484,1.0582372
7,4,107,0,0,1064,0.9816227,0.90021986
7,4,28,1,0,1696,1.2162545,0.11492168
7,4,32,1,0,1879,0.6607997,0.33518824
7,4,42,2,0,3069,0.2633622,0.78529817
7,4,25,1,0,1688,0.18674773,0.51714754
7,4,5,1,0,2005,1.8818425,0.46447513
7,4,21,1,0,1823,1.2449849,0.45489833
